Id,MSSubClass,MSZoning,LotArea,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,ExterQual,ExterCond,Foundation,BsmtFinSF2,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,PoolArea,YrSold,SaleType,SaleCondition,SalePrice,Bathrooms,PorchSF
50,20,RL,7742,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,TA,TA,CBlock,0,Ex,Y,955,0,3,1,0,1,0,2007,WD,Normal,127000,1,0
51,60,RL,13869,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,TA,TA,PConc,0,Gd,Y,794,676,3,1,0,2,0,2007,WD,Normal,177000,2,75
52,50,RM,6240,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,TA,TA,PConc,0,TA,Y,816,0,3,1,1,2,0,2006,WD,Normal,114500,1,0
53,90,RM,8472,AllPub,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Fa,TA,CBlock,712,TA,N,816,0,2,1,0,2,0,2010,WD,Normal,110000,1,0
54,20,RL,50271,AllPub,Inside,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Gd,TA,CBlock,0,Gd,Y,1842,0,0,1,1,3,0,2006,WD,Normal,385000,1,72
55,80,RL,7134,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,TA,TA,CBlock,0,TA,Y,1360,0,3,1,1,2,0,2007,WD,Normal,130000,1,50
56,20,RL,10175,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,TA,TA,CBlock,0,Gd,Y,1425,0,3,1,1,2,0,2008,WD,Normal,180500,2,0
57,160,FV,2645,AllPub,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,Gd,TA,PConc,0,Ex,Y,983,756,3,1,0,2,0,2009,WD,Abnorml,172500,3,0
58,60,RL,11645,AllPub,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,860,860,3,1,0,2,0,2006,WD,Normal,196500,3,70
59,60,RL,13682,AllPub,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,Ex,TA,PConc,0,Ex,Y,1426,1519,3,1,1,3,0,2006,New,Partial,438780,4,37
60,20,RL,7200,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,TA,TA,CBlock,0,Ex,Y,780,0,2,1,0,1,0,2008,WD,Normal,124900,1,0
61,20,RL,13072,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,TA,TA,PConc,0,Ex,Y,1158,0,3,1,0,2,0,2006,New,Partial,158000,2,50
62,75,RM,7200,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,TA,TA,BrkTil,0,TA,N,581,530,3,1,0,1,0,2007,WD,Normal,101000,1,144
63,120,RL,6442,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1370,0,2,1,1,2,0,2007,WD,Normal,202500,2,49
64,70,RM,10300,AllPub,Inside,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,Stucco,TA,TA,BrkTil,0,Gd,Y,902,808,3,1,0,2,0,2010,WD,Normal,140000,2,75
65,60,RL,9375,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,Gable,VinylSd,TA,TA,PConc,0,Ex,Y,1057,977,3,1,0,2,0,2009,WD,Normal,219500,3,36
66,60,RL,9591,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1143,1330,4,1,1,3,0,2007,WD,Normal,317000,3,151
67,20,RL,19900,AllPub,Inside,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,Plywood,TA,TA,CBlock,0,TA,Y,2207,0,3,1,1,2,0,2010,WD,Normal,180000,2,0
68,20,RL,10665,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1479,0,3,1,0,2,0,2007,WD,Normal,226000,2,29
69,30,RM,4608,AllPub,Corner,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,MetalSd,TA,Gd,CBlock,0,TA,Y,747,0,2,1,0,1,0,2010,WD,Normal,80000,1,0
70,50,RL,15593,AllPub,Corner,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,BrkFace,Gd,TA,CBlock,0,TA,Y,1304,983,3,1,1,2,0,2006,WD,Normal,225000,2,135
71,20,RL,13651,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,Plywood,TA,Gd,CBlock,0,Ex,Y,2223,0,3,1,2,2,0,2007,WD,Normal,244000,2,0
72,20,RL,7599,AllPub,Corner,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,Gable,HdBoard,TA,TA,CBlock,0,TA,Y,845,0,2,1,0,2,0,2007,WD,Normal,129500,1,0
73,60,RL,10141,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,VinylSd,TA,TA,PConc,0,Gd,Y,885,833,3,1,1,2,0,2009,WD,Normal,185000,3,94
74,20,RL,10200,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,2003,Gable,Wd Sdng,TA,TA,CBlock,362,Gd,Y,1086,0,3,1,0,2,0,2010,WD,Normal,144900,1,0
75,50,RM,5790,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,VinylSd,Gd,Gd,CBlock,0,Gd,N,840,765,3,2,0,1,0,2010,WD,Normal,107400,2,202
76,180,RM,1596,AllPub,Inside,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,CemntBd,TA,TA,CBlock,0,TA,Y,526,462,2,1,0,1,0,2009,WD,Normal,91000,1,101
77,20,RL,8475,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,VinylSd,TA,TA,CBlock,0,Ex,Y,952,0,2,1,0,1,0,2008,WD,Normal,135750,1,0
78,50,RM,8635,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,Wd Sdng,TA,TA,CBlock,41,TA,Y,1072,213,2,1,0,1,0,2008,WD,Normal,127000,1,0
79,90,RL,10778,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,HdBoard,TA,TA,CBlock,0,TA,N,1768,0,4,2,0,0,0,2010,WD,Normal,136500,2,0
80,50,RM,10440,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,Wd Sdng,TA,TA,PConc,0,Gd,Y,682,548,2,1,0,2,0,2009,WD,Normal,110000,2,128
81,60,RL,13000,AllPub,Corner,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,VinylSd,TA,Gd,CBlock,0,TA,Y,1182,960,4,1,1,1,0,2009,WD,Normal,193500,3,72
82,120,RM,4500,AllPub,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,VinylSd,TA,Gd,PConc,0,Ex,Y,1337,0,2,1,0,2,0,2006,WD,Normal,153500,2,199
83,20,RL,10206,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,TA,TA,PConc,0,Ex,Y,1563,0,3,1,1,3,0,2008,WD,Normal,245000,2,99
84,20,RL,8892,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Gable,MetalSd,TA,TA,CBlock,0,Gd,Y,1065,0,3,1,0,2,0,2007,COD,Normal,126500,2,0
85,80,RL,8530,AllPub,Inside,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,HdBoard,TA,TA,PConc,0,Gd,Y,804,670,3,1,1,2,0,2009,WD,Normal,168500,3,72
86,60,RL,16059,AllPub,Corner,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,Hip,HdBoard,Gd,TA,CBlock,0,Ex,Y,1301,1116,4,1,1,2,0,2006,WD,Normal,260000,3,82
87,60,RL,11911,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,684,876,3,1,1,2,0,2009,WD,Normal,174000,3,38
88,160,FV,3951,AllPub,Corner,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,612,612,2,1,0,2,0,2009,New,Partial,164500,3,234
89,50,C (all),8470,AllPub,Corner,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,Plywood,Fa,Fa,CBlock,0,TA,N,1013,0,2,1,0,0,0,2009,ConLD,Abnorml,85000,1,156
90,20,RL,8070,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,Gable,VinylSd,TA,TA,PConc,0,Ex,Y,990,0,3,1,0,0,0,2007,WD,Normal,123600,1,0
91,20,RL,7200,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,Gable,BrkFace,TA,TA,Slab,0,TA,Y,1040,0,2,1,0,2,0,2006,WD,Normal,109900,1,29
92,20,RL,8500,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,Hip,HdBoard,TA,TA,CBlock,0,TA,Y,1235,0,2,1,0,2,0,2006,WD,Abnorml,98600,1,0
93,30,RL,13360,AllPub,Inside,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921,2006,Gable,Wd Sdng,TA,Gd,BrkTil,0,Ex,Y,964,0,2,1,0,2,0,2009,WD,Normal,163500,1,44
94,190,C (all),7200,AllPub,Corner,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,1910,1998,Hip,MetalSd,TA,TA,BrkTil,0,Ex,N,1260,1031,4,2,1,2,0,2007,WD,Normal,133900,2,0
95,60,RL,9337,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,VinylSd,TA,Gd,PConc,0,Ex,Y,905,881,3,1,0,2,0,2007,WD,Normal,204750,3,162
96,60,RL,9765,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,Gable,VinylSd,Ex,Gd,PConc,0,Gd,Y,680,790,3,1,1,2,0,2009,WD,Normal,185000,3,63
97,20,RL,10264,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1588,0,3,1,0,2,0,2006,WD,Normal,214000,2,29
98,20,RL,10921,AllPub,Inside,Edwards,Norm,Norm,1Fam,1Story,4,5,1965,1965,Hip,HdBoard,TA,TA,CBlock,0,TA,Y,960,0,3,1,0,1,0,2007,WD,Normal,94750,1,0
99,30,RL,10625,AllPub,Corner,Edwards,Norm,Norm,1Fam,1Story,5,5,1920,1950,Gable,Wd Sdng,TA,TA,BrkTil,0,Fa,N,835,0,2,1,0,1,0,2010,COD,Abnorml,83000,1,77
100,20,RL,9320,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,Plywood,TA,TA,CBlock,0,Fa,Y,1225,0,3,1,0,0,0,2010,WD,Normal,128950,2,0
101,20,RL,10603,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,Plywood,TA,TA,PConc,0,Gd,Y,1610,0,3,1,2,2,0,2010,WD,Normal,205000,2,68
102,60,RL,9206,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,6,5,1985,1985,Gable,HdBoard,Gd,TA,CBlock,0,TA,Y,977,755,3,1,1,2,0,2010,WD,Normal,178000,3,46
103,90,RL,7018,AllPub,Inside,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,HdBoard,TA,Fa,Slab,0,TA,Y,1535,0,4,2,0,2,0,2009,WD,Alloca,118964,2,0
104,20,RL,10402,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,VinylSd,TA,TA,PConc,0,Ex,Y,1226,0,3,1,0,3,0,2010,WD,Normal,198900,2,36
105,50,RM,7758,AllPub,Corner,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950,Gable,Stucco,TA,Fa,PConc,0,Ex,Y,1226,592,4,1,2,1,0,2007,WD,Normal,169500,2,0
106,60,FV,9375,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,8,5,2003,2004,Hip,VinylSd,Gd,TA,PConc,0,Ex,Y,1053,939,3,1,1,2,0,2008,WD,Normal,250000,3,45
107,30,RM,10800,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,Mansard,VinylSd,TA,TA,BrkTil,0,Gd,Y,1047,0,2,1,0,1,0,2007,WD,Normal,100000,1,0
108,20,RM,6000,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,VinylSd,TA,TA,CBlock,169,Ex,Y,789,0,2,1,0,1,0,2008,WD,Partial,115000,1,0
109,50,RM,8500,AllPub,Corner,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,7,1919,2005,Gable,CemntBd,TA,TA,CBlock,0,TA,N,997,520,3,1,0,0,0,2007,WD,Normal,115000,2,144
110,20,RL,11751,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,TA,TA,CBlock,0,Ex,Y,1844,0,3,1,1,2,0,2010,COD,Normal,190000,2,122
111,50,RL,9525,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1954,1972,Gable,Wd Sdng,TA,TA,CBlock,0,Gd,Y,1216,639,4,1,0,1,0,2006,WD,Normal,136900,2,0
112,80,RL,7750,AllPub,Inside,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,VinylSd,TA,TA,PConc,0,Ex,Y,774,656,3,1,1,2,0,2010,WD,Normal,180000,3,0
113,60,RL,9965,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2007,2007,Gable,VinylSd,Gd,TA,PConc,0,Ex,Y,1282,1414,4,1,1,3,0,2007,New,Partial,383970,3,184
114,20,RL,21000,AllPub,Corner,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,Wd Sdng,TA,Gd,CBlock,869,TA,Y,2259,0,3,1,2,2,0,2007,COD,Abnorml,217000,2,312
115,70,RL,7259,AllPub,Inside,Crawfor,Norm,Norm,1Fam,2Story,6,8,1945,2002,Gambrel,Wd Sdng,TA,TA,CBlock,150,Ex,Y,1436,884,3,1,1,1,0,2007,WD,Normal,259500,3,0
116,160,FV,3230,AllPub,Corner,Somerst,Norm,Norm,TwnhsE,2Story,6,5,1999,1999,Gable,MetalSd,TA,TA,PConc,0,Gd,Y,729,729,2,1,1,2,0,2007,WD,Normal,176000,3,32
117,20,RL,11616,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Gable,Wd Sdng,TA,TA,CBlock,670,TA,Y,1092,0,3,1,1,1,0,2009,WD,Normal,139000,1,164
118,20,RL,8536,AllPub,Corner,Edwards,Norm,Norm,1Fam,1Story,5,5,2006,2007,Gable,VinylSd,TA,TA,PConc,0,Gd,Y,1125,0,2,1,0,2,0,2007,New,Partial,155000,2,64
